<TICKER> <PER> <DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
MAGN M 20160301 000000 19.3400000 22.5650000 19.0000000 22.0400000 523815600
MAGN M 20160401 000000 22.0400000 25.7400000 21.8100000 23.7350000 567311900
MAGN M 20160501 000000 23.6100000 27.3800000 22.1200000 25.7200000 444789500
MAGN M 20160601 000000 25.6900000 26.0100000 22.7050000 24.0000000 264049600
MAGN M 20160701 000000 23.8700000 29.7500000 23.4750000 29.4950000 317184300
MAGN M 20160801 000000 29.4300000 33.5300000 28.9050000 30.5150000 297176700
MAGN M 20160901 000000 30.5000000 31.9500000 28.4350000 28.5600000 274971300
MAGN M 20161001 000000 28.6500000 31.8600000 27.7200000 31.8600000 183398800
MAGN M 20161101 000000 31.9200000 36.6200000 28.8500000 34.4450000 259731800
MAGN M 20161201 000000 34.5400000 35.8300000 32.5200000 33.2650000 153327300
MAGN M 20170101 000000 33.2550000 39.5300000 32.6250000 39.3450000 191829300
MAGN M 20170201 000000 39.4500000 43.6000000 31.3850000 36.9800000 309076300
MAGN M 20170301 000000 36.7350000 38.6350000 32.9000000 36.6350000 274784300
MAGN M 20170401 000000 36.9150000 37.5000000 32.8100000 33.9050000 182200400
MAGN M 20170501 000000 33.8000000 36.6500000 30.5000000 31.0950000 205481700
MAGN M 20170601 000000 31.2950000 34.3850000 27.7200000 33.3500000 267374400
MAGN M 20170701 000000 33.5600000 36.5750000 33.0500000 33.8000000 258626500
MAGN M 20170801 000000 33.8350000 41.5000000 33.7550000 40.2600000 290578000
MAGN M 20170901 000000 40.5450000 44.5000000 37.8300000 43.2850000 476763900
MAGN M 20171001 000000 43.3850000 47.0300000 43.3150000 44.1500000 290077500
MAGN M 20171101 000000 44.0050000 47.3300000 42.1500000 43.9300000 636670000
MAGN M 20171201 000000 43.8000000 45.3000000 40.5250000 41.8600000 304554400
MAGN M 20180101 000000 41.9300000 46.0000000 41.8050000 45.6100000 202546700
MAGN M 20180201 000000 45.6200000 48.3000000 43.2400000 47.6800000 192838800
MAGN M 20180301 000000 47.4500000 47.9450000 43.6000000 44.1350000 191389900
MAGN M 20180401 000000 44.0300000 50.5050000 40.0600000 48.6800000 174011910
MAGN M 20180501 000000 48.4650000 49.0900000 44.0100000 49.0900000 191194800
MAGN M 20180601 000000 48.7500000 49.7900000 42.0300000 42.5500000 162205190
MAGN M 20180701 000000 42.5500000 46.5900000 42.3850000 46.2600000 158941300
MAGN M 20180801 000000 46.0050000 49.6000000 44.6000000 48.4450000 185102000
MAGN M 20180901 000000 48.6150000 52.9400000 48.1000000 52.1850000 138912700
MAGN M 20181001 000000 52.0050000 53.8350000 45.3050000 47.9450000 167048600
MAGN M 20181101 000000 47.8800000 48.3800000 44.8100000 46.8050000 206789400
MAGN M 20181201 000000 46.6700000 47.9600000 40.3100000 43.0400000 201638290
MAGN M 20190101 000000 43.0550000 45.7600000 42.5550000 43.3000000 171931800
MAGN M 20190201 000000 43.4150000 45.1500000 41.8600000 44.5000000 173450200
MAGN M 20190301 000000 44.6700000 46.4600000 43.1050000 45.9000000 149857700
MAGN M 20190401 000000 45.7500000 46.1900000 43.7100000 44.2000000 84841100
MAGN M 20190501 000000 44.2000000 45.9900000 42.7500000 44.6550000 142576400
MAGN M 20190601 000000 44.5100000 47.0150000 44.2500000 44.9850000 169192100
MAGN M 20190701 000000 45.1000000 45.5600000 42.7200000 42.8800000 154801100
MAGN M 20190801 000000 42.7100000 42.9200000 37.6400000 41.8400000 259760400
MAGN M 20190901 000000 41.9200000 42.2000000 38.7650000 39.1550000 169295800
MAGN M 20191001 000000 39.2000000 39.3450000 35.1900000 36.5300000 272754700
MAGN M 20191101 000000 36.8000000 39.6550000 36.6250000 38.9850000 221967800
MAGN M 20191201 000000 38.9450000 42.5700000 37.8000000 41.9500000 240356700
MAGN M 20200101 000000 42.3200000 48.9200000 41.8300000 44.9100000 323159200
MAGN M 20200201 000000 44.2000000 46.8650000 39.1600000 39.9850000 343164600
MAGN M 20200301 000000 41.3950000 41.4650000 31.2250000 38.5000000 474860200
MAGN M 20200401 000000 37.7000000 41.9850000 37.2500000 40.2600000 321485000
MAGN M 20200501 000000 39.8950000 41.8850000 36.7150000 40.4400000 265990600
MAGN M 20200601 000000 40.6200000 43.8300000 36.9850000 36.9850000 292547800
MAGN M 20200701 000000 37.1650000 40.4450000 37.1650000 39.9600000 335110700
MAGN M 20200801 000000 39.8850000 40.9950000 37.5500000 37.8500000 280309100
MAGN M 20200901 000000 37.9950000 40.0450000 36.1500000 38.6300000 464376900
MAGN M 20201001 000000 38.8250000 38.9800000 34.5250000 37.1900000 505514700
MAGN M 20201101 000000 37.2000000 44.0700000 36.9000000 43.4800000 974190020
MAGN M 20201201 000000 43.4800000 59.0900000 42.5150000 55.8350000 1111208340
MAGN M 20210101 000000 56.0350000 58.3500000 50.8800000 51.8950000 779578850
MAGN M 20210201 000000 52.1550000 54.8000000 49.1400000 54.2050000 578749570
MAGN M 20210301 000000 54.3550000 61.9900000 52.6000000 60.8850000 673066490
MAGN M 20210401 000000 61.3000000 71.8750000 58.3750000 65.2650000 1032180390
MAGN M 20210501 000000 65.1950000 66.2900000 61.6000000 63.1700000 591903560
MAGN M 20210601 000000 63.2900000 68.7550000 58.5050000 60.5850000 795757870
MAGN M 20210701 000000 60.7350000 69.7950000 57.3000000 68.7950000 719890610
MAGN M 20210801 000000 68.9250000 74.0000000 65.8000000 73.8450000 421232420
MAGN M 20210901 000000 73.9700000 79.7750000 67.8500000 68.3750000 937531510
MAGN M 20211001 000000 68.1400000 72.8150000 64.6550000 65.9300000 902457170
MAGN M 20211101 000000 66.2950000 67.4850000 58.8150000 59.6600000 564312610
MAGN M 20211201 000000 60.2000000 69.9600000 56.9850000 69.6500000 549708240
MAGN M 20220101 000000 69.6700000 72.0000000 54.7750000 61.6500000 872343450
MAGN M 20220201 000000 61.9950000 67.0650000 35.2000000 47.6750000 980046430
MAGN M 20220301 000000 46.9500000 51.2450000 40.4100000 43.9000000 163300010
MAGN M 20220401 000000 45.0000000 47.4500000 38.3000000 44.9300000 216689760
MAGN M 20220501 000000 44.8350000 45.8700000 35.5850000 35.7100000 138129080
MAGN M 20220601 000000 35.7100000 36.5000000 29.6450000 32.0950000 314851690
MAGN M 20220701 000000 31.9900000 32.8700000 25.5000000 26.4700000 355796140
MAGN M 20220801 000000 26.9400000 29.8500000 22.7500000 29.2200000 681152680
MAGN M 20220901 000000 29.2550000 30.7600000 21.6600000 24.2400000 519089400
MAGN M 20221001 000000 24.3050000 32.6550000 23.3700000 31.1700000 634823320
MAGN M 20221101 000000 31.2400000 33.4100000 29.0000000 31.5650000 460849440
MAGN M 20221201 000000 31.6050000 34.2000000 30.7450000 32.8650000 334452180
MAGN M 20230101 000000 32.8800000 35.9850000 32.7200000 35.9450000 186894670
MAGN M 20230201 000000 35.9900000 39.5100000 35.2600000 39.0700000 329554850
MAGN M 20230301 000000 39.1600000 42.6700000 38.4300000 39.9400000 459555390
