<TICKER> <PER> <DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
USDRUB M 20160301 000000 75.3111000 75.6580000 66.2603000 66.9688000 9201340
USDRUB M 20160401 000000 66.9128000 69.4786000 63.9626000 64.9833000 7823930
USDRUB M 20160501 000000 64.8505000 67.7446000 61.8795000 66.0515000 8577500
USDRUB M 20160601 000000 66.2296000 67.7056000 61.8950000 63.6135000 8621823
USDRUB M 20160701 000000 63.6967000 67.1643000 61.7345000 65.6368000 7765903
USDRUB M 20160801 000000 65.8975000 67.4453000 62.7796000 65.3545000 9256207
USDRUB M 20160901 000000 65.4083000 66.4900000 62.5530000 62.7910000 10601684
USDRUB M 20161001 000000 62.9114000 64.0230000 61.3390000 63.1430000 8549254
USDRUB M 20161101 000000 63.1430000 66.8966000 62.4230000 64.1030000 10769006
USDRUB M 20161201 000000 64.1077000 64.4007000 59.6791000 61.3982000 9037039
USDRUB M 20170101 000000 61.5325000 61.6471000 58.6978000 60.1142000 8067748
USDRUB M 20170201 000000 60.1142000 60.5433000 56.5238000 58.3132000 5625924
USDRUB M 20170301 000000 58.3138000 59.6166000 55.7540000 56.2350000 7419630
USDRUB M 20170401 000000 56.2480000 57.5891000 55.5425000 56.8213000 5865457
USDRUB M 20170501 000000 56.8918000 59.0700000 55.1649000 56.5420000 7124713
USDRUB M 20170601 000000 56.6011000 60.4162000 56.0214000 58.7719000 5875434
USDRUB M 20170701 000000 58.8565000 60.9987000 58.2007000 59.7556000 5212349
USDRUB M 20170801 000000 59.7622000 60.8430000 57.9438000 58.0165000 4081673
USDRUB M 20170901 000000 58.0157000 58.5795000 56.7274000 57.5428000 4238776
USDRUB M 20171001 000000 57.5270000 58.7652000 56.8499000 58.3234000 4502842
USDRUB M 20171101 000000 58.3240000 60.5157000 57.8260000 58.4503000 4792617
USDRUB M 20171201 000000 58.4562000 59.3909000 57.3377000 57.6470000 3574838
USDRUB M 20180101 000000 57.6470000 58.0016000 55.5305000 56.2024000 3823607
USDRUB M 20180201 000000 56.2094000 58.7698000 55.5006000 56.3472000 6400964
USDRUB M 20180301 000000 56.3682000 58.0370000 56.2037000 57.2325000 6894483
USDRUB M 20180401 000000 57.1410000 65.0500000 57.0280000 62.9551000 6088476
USDRUB M 20180501 000000 62.9480000 64.2863000 60.8934000 62.4124000 6216198
USDRUB M 20180601 000000 62.4200000 64.3141000 61.5573000 62.7692000 5755201
USDRUB M 20180701 000000 62.8050000 64.1507000 61.5805000 62.5170000 6320631
USDRUB M 20180801 000000 62.5175000 69.3672000 62.4078000 67.4239000 7904179
USDRUB M 20180901 000000 67.4764000 70.6513000 65.1953000 65.5062000 6163850
USDRUB M 20181001 000000 65.5369000 67.0911000 64.8080000 65.8665000 8776276
USDRUB M 20181101 000000 65.8665000 68.2667000 65.2900000 66.9900000 9717275
USDRUB M 20181201 000000 66.9943000 69.9181000 65.6477000 69.6929000 9418246
USDRUB M 20190101 000000 69.6854000 69.9710000 65.1097000 65.3415000 8504330
USDRUB M 20190201 000000 65.3430000 67.1615000 65.1107000 65.9150000 8524051
USDRUB M 20190301 000000 65.8896000 66.5164000 63.5841000 65.6130000 8647959
USDRUB M 20190401 000000 65.6190000 65.8799000 63.6078000 64.5876000 8268524
USDRUB M 20190501 000000 64.5863000 67.0871000 64.0950000 65.3803000 9164288
USDRUB M 20190601 000000 65.4259000 65.9150000 62.4457000 63.0762000 7680796
USDRUB M 20190701 000000 63.0753000 63.9928000 62.5077000 63.5403000 8246356
USDRUB M 20190801 000000 63.5025000 67.0938000 63.2858000 66.6670000 7007984
USDRUB M 20190901 000000 66.6670000 67.1359000 63.5577000 64.8217000 7544855
USDRUB M 20191001 000000 64.8276000 66.1312000 63.5072000 64.1120000 10707595
USDRUB M 20191101 000000 64.1110000 64.4663000 63.1200000 64.3533000 9110747
USDRUB M 20191201 000000 64.0300000 64.4880000 61.4060000 61.9007000 9717860
USDRUB M 20200101 000000 61.9320000 64.0175000 60.8300000 63.9510000 11094209
USDRUB M 20200201 000000 63.9690000 67.6421700 62.4963000 66.7112000 15270422
USDRUB M 20200301 000000 66.7287000 82.8930000 65.2785000 78.3620000 14225778
USDRUB M 20200401 000000 78.4792000 79.3700000 72.5481000 74.3302000 19182704
USDRUB M 20200501 000000 74.3300000 75.9513000 69.8430000 70.3089000 16882857
USDRUB M 20200601 000000 70.2166000 71.3317400 67.9570000 71.1907000 16149610
USDRUB M 20200701 000000 71.1750000 74.5050000 70.1166000 74.2200000 16318070
USDRUB M 20200801 000000 74.2200000 75.9945100 72.5120000 73.8464000 14831273
USDRUB M 20200901 000000 73.8460000 79.9676400 73.3091000 77.4870000 23972182
USDRUB M 20201001 000000 77.6825000 79.7080000 75.9150000 79.3972000 25375865
USDRUB M 20201101 000000 79.2850000 80.9502100 75.2544000 76.4053000 18350924
USDRUB M 20201201 000000 76.3918000 76.4917000 72.5988000 73.7880000 14142271
USDRUB M 20210101 000000 73.7880000 76.5006400 73.0120000 75.7150000 13928379
USDRUB M 20210201 000000 75.7520000 76.3492000 73.0957000 74.3110000 14094831
USDRUB M 20210301 000000 74.5548000 77.0530000 72.4790000 75.7061000 17559884
USDRUB M 20210401 000000 75.6986000 78.0500000 74.1407000 75.1870000 14242755
USDRUB M 20210501 000000 75.1971000 75.8456000 72.9310000 73.3870000 20593404
USDRUB M 20210601 000000 73.3837000 73.7850000 71.4990000 73.0264000 21820374
USDRUB M 20210701 000000 73.0392000 75.3500000 72.6710000 73.0932000 19765867
USDRUB M 20210801 000000 73.1304000 74.9198000 72.6300000 73.3081000 18261580
USDRUB M 20210901 000000 73.3164000 73.9635000 72.0937000 72.7186000 21898891
USDRUB M 20211001 000000 72.7317000 73.2438100 69.1110000 70.6696000 21447860
USDRUB M 20211101 000000 70.6704000 75.9202000 70.4147000 73.9410000 18317809
USDRUB M 20211201 000000 74.0986000 76.2834000 73.0360000 74.7813000 13968468
USDRUB M 20220101 000000 74.7813000 80.4071100 74.1100000 77.1550000 15118152
USDRUB M 20220201 000000 77.3440000 110.5000000 74.2134000 104.2585000 12526126
USDRUB M 20220301 000000 104.2605000 154.2500000 75.5000000 81.7081000 59118
USDRUB M 20220401 000000 80.2500000 86.3461000 68.0025000 70.6000000 21023
USDRUB M 20220501 000000 70.3500000 71.8750000 54.3750000 62.0000000 20696
USDRUB M 20220601 000000 60.5000000 64.0330000 49.8750000 54.1250000 23227
USDRUB M 20220701 000000 52.3750000 68.4500000 51.4850000 61.5000000 22583
USDRUB M 20220801 000000 61.2850000 64.0500000 57.7500000 59.3750000 25401
